QuestionID,Company,Role,Perspective,Difficulty,Topic,Question,Expected_Concepts,Keywords
AI001,Google,Machine Learning Engineer,AI/ML,Easy,Transformers,"Explain why Transformers use Multi-Head Attention instead of a single large attention head, and how does it affect feature subspace representation?",Multi-Head Attention;Feature Subspaces;Attention Scaling;Orthogonality;Representation Learning,"transformers,attention,deep learning,multi-head attention"
AI002,Microsoft,Data Scientist,AI/ML,Medium,Retrieval-Augmented Generation (RAG),Describe how to handle semantic chunking strategy trade-offs when dealing with documents containing dense tables and hierarchical headers in a RAG pipeline?,Retrieval-Augmented Generation;Semantic Chunking;Chunk Overlap;Hierarchical Parsing;Metadata Filtering,"rag,embeddings,vector database,llm"
AI003,Amazon,AI Engineer,AI/ML,Hard,Large Language Models,Explain the architectural advantages and trade-offs of using Rotary Position Embeddings (RoPE) compared to absolute positional encodings in modern LLMs.,Rotary Position Embeddings;Positional Encoding;Context Length Extrapolation;Attention Matrix;Relative Distance,"llm,rope,positional encoding,transformers"
AI004,Meta,Data Engineer,AI/ML,Easy,Fine-tuning,"What is the mathematical rationale behind using low-rank matrices in LoRA, and how do you determine the optimal rank value parameter configuration?",Low-Rank Adaptation;Intrinsic Rank;Weight Update Matrix;Parameter Efficiency;Singular Value Decomposition,"lora,fine-tuning,peft,llm"
AI005,Apple,Generative AI Engineer,AI/ML,Medium,Vector Databases,Compare the performance and recall trade-offs of HNSW index structures versus IVF-PQ vector index quantizations during massive scale nearest-neighbor searches.,Hierarchical Navigable Small World;Inverted File Product Quantization;Approximate Nearest Neighbors;Recall-Latency Trade-off;Vector Quantization,"vector database,hnsw,ivfpq,ann,embeddings"
AI006,Netflix,Machine Learning Engineer,AI/ML,Hard,Computer Vision,How does the anchor-free architecture of modern object detection models eliminate design limitations introduced by traditional anchor-based frameworks?,Anchor-Free Detection;Object Detection;Bounding Box Regression;Feature Pyramid Networks;Centerness Loss,"computer vision,object detection,cnn,deep learning"
AI007,NVIDIA,Data Scientist,AI/ML,Easy,Recommendation Systems,How do deep learning recommendation architectures handle cold-start entities using multi-modal side-information features without destabilizing the embedding matrix spaces?,Deep Recommendation;Cold-Start;Embedding Regularization;Side Information;Two-Tower Models,"recommendation systems,embeddings,deep learning,dlrm"
AI008,Adobe,AI Engineer,AI/ML,Medium,MLOps,What specific metrics and statistical tests would you use to distinguish between sudden feature pipeline drift and gradual real-world target concept drift over time?,Feature Drift;Concept Drift;Kolmogorov-Smirnov Test;Population Stability Index;Data Monitoring,"mlops,data drift,concept drift,monitoring"
AI009,Oracle,Data Engineer,AI/ML,Hard,Model Deployment,"How do KV caching memory strategies affect inference batch size dynamics, throughput optimizations, and hardware constraint scaling for serving autoregressive LLMs?",KV Caching;Autoregressive Inference;Memory Bandwidth Bound;PagedAttention;Inference Throughput,"model deployment,kv cache,llm,inference"
AI010,Salesforce,Generative AI Engineer,AI/ML,Easy,Explainable AI,"Explain the axiom of Efficiency in Shapley values, and why Integrated Gradients satisfies certain theoretical properties that standard saliency maps fail to preserve.",Shapley Values;Integrated Gradients;Axiomatic Attribution;Saliency Maps;Model Interpretability,"explainable ai,shap,integrated gradients,deep learning"
AI011,IBM,Machine Learning Engineer,AI/ML,Medium,Time Series Forecasting,Describe how to handle structural breaks and dynamic trend shifts when scaling cross-sectional neural forecasting architectures across highly volatile multi-variate metrics?,Time Series Forecasting;Structural Breaks;Multi-variate Forecasting;Autoregressive Models;Domain Adaptation,"time series,forecasting,neural networks,deep learning"
AI012,Intel,Data Scientist,AI/ML,Hard,Reinforcement Learning,"Detail what causes sample inefficiency and variance instabilities in policy gradient reinforcement learning methods, and how does Proximal Policy Optimization mitigate them?",Policy Gradient;Sample Inefficiency;Proximal Policy Optimization;Clipped Objective Function;Trust Region,"reinforcement learning,ppo,policy gradient,actor-critic"
AI013,Cisco,AI Engineer,AI/ML,Easy,Neural Networks,"Describe the operational mechanics of Layer Normalization versus Batch Normalization, and explain why Layer Normalization is preferred in sequential transformer token structures.",Layer Normalization;Batch Normalization;Internal Covariate Shift;Sequence Processing;Hidden Dimension Activation,"neural networks,normalization,transformers,deep learning"
AI014,Accenture,Data Engineer,AI/ML,Medium,Feature Engineering,"How do target encoding transformations introduce subtle data leakage risks in cross-validation setups, and what specific smoothing methods counteract this problem?",Target Encoding;Data Leakage;Out-of-fold Encoding;Bayesian Smoothing;Cross-Validation,"feature engineering,target encoding,data leakage,machine learning"
AI015,Deloitte,Generative AI Engineer,AI/ML,Hard,Model Evaluation,"When dealing with extreme target class imbalances, why can the Area Under the Precision-Recall Curve serve as a more reliable metric than the ROC-AUC score?",Precision-Recall Curve;ROC-AUC;Class Imbalance;True Negative Rate;Classifier Calibration,"model evaluation,auc,precision,recall,metrics"
AI016,EY,Machine Learning Engineer,AI/ML,Easy,Prompt Engineering,"What is the cognitive and cognitive-computational rationale behind Chain-of-Thought prompting strategies, and how does it dynamically leverage token computational generation spaces?",Chain-of-Thought;Autoregressive Generation;Hidden State Intermediates;In-Context Learning;Prompt Design,"prompt engineering,chain of thought,llm,in-context learning"
AI017,PwC,Data Scientist,AI/ML,Medium,Embeddings,How do contrastive learning loss designs like InfoNCE optimize sentence embedding spaces during unsupervised semantic text similarity metric configurations?,Contrastive Learning;InfoNCE Loss;Sentence Embeddings;Semantic Similarity;Negative Sampling,"embeddings,contrastive learning,infonce,nlp"
AI018,KPMG,AI Engineer,AI/ML,Hard,Natural Language Processing,"Explain the architectural mechanics of Byte-Pair Encoding algorithms, and how they gracefully resolve out-of-vocabulary constraints in generative text modeling.",Byte-Pair Encoding;Tokenization;Subword Vocabulary;Out-of-Vocabulary;Text Tokenization,"nlp,tokenization,bpe,text processing"
AI019,Infosys,Data Engineer,AI/ML,Easy,Deep Learning,"What structural elements cause vanishing gradients inside deeply stacked network topologies, and how do residual skip connections analytically repair the gradient flow paths?",Vanishing Gradient;Residual Connections;Gradient Highway;Identity Mapping;Backpropagation Matrix Multiplication,"deep learning,gradients,resnet,neural networks"
AI020,TCS,Generative AI Engineer,AI/ML,Medium,Machine Learning,Explain the theoretical bias-variance decomposition of mean squared error and how specific L1 and L2 regularization choices geometrically compress the model parameters space.,Bias-Variance Decomposition;L1 Regularization;L2 Regularization;Sparsity Constraint;Overfitting Control,"machine learning,regularization,bias variance,optimization"
AI021,Wipro,Machine Learning Engineer,AI/ML,Hard,Transformers,"Explain why Transformers use Multi-Head Attention instead of a single large attention head, and how does it affect feature subspace representation?",Multi-Head Attention;Feature Subspaces;Attention Scaling;Orthogonality;Representation Learning,"transformers,attention,deep learning,multi-head attention"
AI022,HCLTech,Data Scientist,AI/ML,Easy,Retrieval-Augmented Generation (RAG),Describe how to handle semantic chunking strategy trade-offs when dealing with documents containing dense tables and hierarchical headers in a RAG pipeline?,Retrieval-Augmented Generation;Semantic Chunking;Chunk Overlap;Hierarchical Parsing;Metadata Filtering,"rag,embeddings,vector database,llm"
AI023,Capgemini,AI Engineer,AI/ML,Medium,Large Language Models,Explain the architectural advantages and trade-offs of using Rotary Position Embeddings (RoPE) compared to absolute positional encodings in modern LLMs.,Rotary Position Embeddings;Positional Encoding;Context Length Extrapolation;Attention Matrix;Relative Distance,"llm,rope,positional encoding,transformers"
AI024,Cognizant,Data Engineer,AI/ML,Hard,Fine-tuning,"What is the mathematical rationale behind using low-rank matrices in LoRA, and how do you determine the optimal rank value parameter configuration?",Low-Rank Adaptation;Intrinsic Rank;Weight Update Matrix;Parameter Efficiency;Singular Value Decomposition,"lora,fine-tuning,peft,llm"
AI025,Tech Mahindra,Generative AI Engineer,AI/ML,Easy,Vector Databases,Compare the performance and recall trade-offs of HNSW index structures versus IVF-PQ vector index quantizations during massive scale nearest-neighbor searches.,Hierarchical Navigable Small World;Inverted File Product Quantization;Approximate Nearest Neighbors;Recall-Latency Trade-off;Vector Quantization,"vector database,hnsw,ivfpq,ann,embeddings"
AI026,Flipkart,Machine Learning Engineer,AI/ML,Medium,Computer Vision,How does the anchor-free architecture of modern object detection models eliminate design limitations introduced by traditional anchor-based frameworks?,Anchor-Free Detection;Object Detection;Bounding Box Regression;Feature Pyramid Networks;Centerness Loss,"computer vision,object detection,cnn,deep learning"
AI027,Swiggy,Data Scientist,AI/ML,Hard,Recommendation Systems,How do deep learning recommendation architectures handle cold-start entities using multi-modal side-information features without destabilizing the embedding matrix spaces?,Deep Recommendation;Cold-Start;Embedding Regularization;Side Information;Two-Tower Models,"recommendation systems,embeddings,deep learning,dlrm"
AI028,Zomato,AI Engineer,AI/ML,Easy,MLOps,What specific metrics and statistical tests would you use to distinguish between sudden feature pipeline drift and gradual real-world target concept drift over time?,Feature Drift;Concept Drift;Kolmogorov-Smirnov Test;Population Stability Index;Data Monitoring,"mlops,data drift,concept drift,monitoring"
AI029,Paytm,Data Engineer,AI/ML,Medium,Model Deployment,"How do KV caching memory strategies affect inference batch size dynamics, throughput optimizations, and hardware constraint scaling for serving autoregressive LLMs?",KV Caching;Autoregressive Inference;Memory Bandwidth Bound;PagedAttention;Inference Throughput,"model deployment,kv cache,llm,inference"
AI030,PhonePe,Generative AI Engineer,AI/ML,Hard,Explainable AI,"Explain the axiom of Efficiency in Shapley values, and why Integrated Gradients satisfies certain theoretical properties that standard saliency maps fail to preserve.",Shapley Values;Integrated Gradients;Axiomatic Attribution;Saliency Maps;Model Interpretability,"explainable ai,shap,integrated gradients,deep learning"
AI031,Razorpay,Machine Learning Engineer,AI/ML,Easy,Time Series Forecasting,Describe how to handle structural breaks and dynamic trend shifts when scaling cross-sectional neural forecasting architectures across highly volatile multi-variate metrics?,Time Series Forecasting;Structural Breaks;Multi-variate Forecasting;Autoregressive Models;Domain Adaptation,"time series,forecasting,neural networks,deep learning"
AI032,Meesho,Data Scientist,AI/ML,Medium,Reinforcement Learning,"Detail what causes sample inefficiency and variance instabilities in policy gradient reinforcement learning methods, and how does Proximal Policy Optimization mitigate them?",Policy Gradient;Sample Inefficiency;Proximal Policy Optimization;Clipped Objective Function;Trust Region,"reinforcement learning,ppo,policy gradient,actor-critic"
AI033,Google,AI Engineer,AI/ML,Hard,Neural Networks,"Describe the operational mechanics of Layer Normalization versus Batch Normalization, and explain why Layer Normalization is preferred in sequential transformer token structures.",Layer Normalization;Batch Normalization;Internal Covariate Shift;Sequence Processing;Hidden Dimension Activation,"neural networks,normalization,transformers,deep learning"
