QuestionID,Company,Role,Perspective,Difficulty,Topic,Question,Expected_Concepts,Keywords
AI051,Cisco,Machine Learning Engineer,AI/ML,Easy,Mixture of Experts (MoE),"How do you mitigate token routing collapse in Sparsely-Gated Mixture-of-Experts architectures, and what is the role of the auxiliary load balancing loss?",Router collapse;Auxiliary loss;Sparsely-Gated MoE;Token distribution;Expert capacity,"moe,mixture of experts,llm,load balancing"
AI052,Accenture,Generative AI Engineer,AI/ML,Medium,Diffusion Models,Explain the structural and mathematical distinction between the forward noise injection process and the reverse denoising score matching process in DDPMs.,DDPM;Markov chain;Score matching;Denoising;Gaussian noise,"diffusion,generative models,ddpm,computer vision"
AI053,Deloitte,Data Engineer,AI/ML,Hard,Federated Learning,How does the Federated Averaging (FedAvg) algorithm address non-IID (independent and identically distributed) data across edge devices during decentralized training?,FedAvg;Non-IID data;Client drift;Weight aggregation;Privacy-preserving ML,"federated learning,privacy,edge ai,fedavg"
AI054,EY,AI Engineer,AI/ML,Easy,Graph Neural Networks,Explain the over-smoothing problem in deep Graph Convolutional Networks (GCNs) and how jump knowledge networks or APPNP architectures prevent it.,Over-smoothing;Graph Convolution;Laplacian smoothing;Node embedding convergence;APPNP,"gnn,gcn,graph neural networks,over-smoothing"
AI055,PwC,Data Scientist,AI/ML,Medium,Model Quantization,What is the core distinction between Activation-aware Weight Quantization (AWQ) and GPTQ when compressing model weights to 4-bit precision?,AWQ;GPTQ;Weight quantization;Salient weights;Second-order error optimization,"quantization,awq,gptq,model compression"
AI056,KPMG,Machine Learning Engineer,AI/ML,Hard,Neural Radiance Fields (NeRF),"How do Neural Radiance Fields map 5D coordinates to color and density representations, and why is positional encoding necessary for capturing high-frequency details?",NeRF;Volume rendering;5D coordinate mapping;High-frequency fields;Ray marching,"nerf,computer vision,3d reconstruction,graphics"
AI057,Infosys,Generative AI Engineer,AI/ML,Easy,LLM Watermarking,Explain the greenlist/redlist token selection heuristic used in soft LLM watermarking algorithms to detect machine-generated text without changing perplexity significantly.,LLM watermarking;Greenlist tokens;Pseudorandom number generator;Statistical detection;Text provenance,"watermarking,llm safety,text generation,generative ai"
AI058,TCS,Data Engineer,AI/ML,Medium,Contrastive Learning,How does the NT-Xent (Normalized Temperature-scaled Cross Entropy) loss in SimCLR discourage representation collapse in self-supervised learning pipelines?,NT-Xent loss;SimCLR;Representation collapse;Data augmentation;Temperature scaling,"contrastive learning,simclr,self-supervised learning,ssl"
AI059,Wipro,AI Engineer,AI/ML,Hard,Knowledge Distillation,"What is the purpose of the temperature parameter in logit-based knowledge distillation, and how does it manipulate the dark knowledge of the teacher model?",Knowledge distillation;Logit smoothing;Dark knowledge;Soft targets;Teacher-student framework,"knowledge distillation,model compression,logits,deep learning"
AI060,HCLTech,Data Scientist,AI/ML,Easy,Active Learning,"Compare uncertainty sampling, query-by-committee, and expected model change strategies regarding computational overhead in deep active learning frameworks.",Active learning;Uncertainty sampling;Query-by-committee;Expected model change;Data labeling efficiency,"active learning,data labeling,sampling strategies"
AI061,Capgemini,Machine Learning Engineer,AI/ML,Medium,Model Parallelism,Explain the synchronization and pipeline bubble differences between 1D Megatron-style Tensor Parallelism and Pipeline Parallelism during massive model distributed training.,Tensor Parallelism;Pipeline Parallelism;Pipeline Bubble;All-Reduce communication;Megatron-LM,"distributed training,tensor parallel,pipeline parallel,mlops"
AI062,Cognizant,Generative AI Engineer,AI/ML,Hard,Neural Architecture Search,How do differentiable Neural Architecture Search (DARTS) frameworks continuous-relax the discrete sub-graph optimization problem to enable gradient-based search?,DARTS;Continuous relaxation;Supernet bi-level optimization;Gradient-based NAS;Search space,"nas,darts,automl,neural architecture search"
