QuestionID,Company,Role,Perspective,Difficulty,Topic,Question,Expected_Concepts,Keywords
BH001,Google,Software Engineer,Behavioral,Easy,Teamwork,Describe a time when you collaborated with a team to deliver a project under tight deadlines.,Teamwork;Communication;Time Management;Collaboration,"teamwork,communication,deadline"
BH002,Microsoft,Backend Developer,Behavioral,Medium,Ownership,Give an example of when you took ownership of a problem and resolved it successfully.,Ownership;Accountability;Problem Solving;Initiative,"ownership,problem solving,initiative"
BH003,Amazon,Frontend Developer,Behavioral,Hard,Conflict Resolution,Share an experience where you had to resolve a conflict within your team.,Conflict Resolution;Communication;Empathy;Negotiation,"conflict resolution,teamwork,negotiation"
BH004,Meta,Full Stack Developer,Behavioral,Medium,Leadership,Describe a situation where you had to lead a project without formal authority.,Leadership;Influence;Decision Making;Collaboration,"leadership,influence,decision making"
BH005,Apple,Data Scientist,Behavioral,Easy,Communication,Explain how you communicated complex data insights to a non-technical audience.,Communication;Clarity;Adaptability;Stakeholder Management,"communication,data,stakeholders"
BH006,Netflix,Machine Learning Engineer,Behavioral,Hard,Innovation,Give an example of how you introduced an innovative solution to a challenging problem.,Innovation;Creativity;Problem Solving;Initiative,"innovation,creativity,problem solving"
BH007,NVIDIA,Data Engineer,Behavioral,Medium,Adaptability,Describe a time when you had to quickly adapt to a major change in project requirements.,Adaptability;Resilience;Flexibility;Problem Solving,"adaptability,resilience,flexibility"
BH008,Adobe,Cloud Engineer,Behavioral,Easy,Customer Obsession,Share an example of how you prioritized customer needs in your work.,Customer Obsession;Empathy;Problem Solving;Accountability,"customer obsession,empathy,accountability"
BH009,Oracle,DevOps Engineer,Behavioral,Hard,Decision Making,Describe a time when you had to make a difficult decision with limited information.,Decision Making;Risk Management;Ownership;Accountability,"decision making,risk,ownership"
BH010,Salesforce,Business Analyst,Behavioral,Medium,Stakeholder Management,Explain how you managed conflicting priorities among stakeholders.,Stakeholder Management;Negotiation;Communication;Prioritization,"stakeholders,negotiation,prioritization"
BH011,IBM,Product Manager,Behavioral,Easy,Time Management,Share an example of how you managed multiple tasks effectively.,Time Management;Prioritization;Organization;Accountability,"time management,prioritization,organization"
BH012,Intel,UI/UX Designer,Behavioral,Hard,Feedback,Describe a time when you received critical feedback and how you acted on it.,Feedback;Growth Mindset;Adaptability;Resilience,"feedback,growth mindset,resilience"
BH013,Cisco,Software Engineer,Behavioral,Medium,Problem Solving,Explain how you solved a complex problem that impacted your team.,Problem Solving;Collaboration;Innovation;Ownership,"problem solving,collaboration,ownership"
BH014,Accenture,Backend Developer,Behavioral,Easy,Handling Failure,Share an example of a failure and how you recovered from it.,Handling Failure;Resilience;Learning from Mistakes;Adaptability,"failure,resilience,learning"
BH015,Deloitte,Frontend Developer,Behavioral,Hard,Leadership,Describe a time when you motivated your team during a challenging project.,Leadership;Motivation;Teamwork;Communication,"leadership,motivation,teamwork"
BH016,EY,Full Stack Developer,Behavioral,Medium,Accountability,Give an example of when you took responsibility for a mistake.,Accountability;Ownership;Ethics;Learning from Mistakes,"accountability,ownership,ethics"
BH017,PwC,Data Scientist,Behavioral,Easy,Learning from Mistakes,Share a mistake you made and what you learned from it.,Learning from Mistakes;Growth Mindset;Resilience;Adaptability,"mistakes,growth,resilience"
BH018,KPMG,Machine Learning Engineer,Behavioral,Hard,Resilience,Describe a time when you faced repeated setbacks but kept pushing forward.,Resilience;Adaptability;Persistence;Problem Solving,"resilience,setbacks,persistence"
BH019,Infosys,Data Engineer,Behavioral,Medium,Mentorship,Explain how you mentored a junior colleague to improve their performance.,Mentorship;Leadership;Communication;Growth Mindset,"mentorship,leadership,growth"
BH020,TCS,Cloud Engineer,Behavioral,Easy,Initiative,Share an example of when you took initiative to improve a process.,Initiative;Innovation;Ownership;Problem Solving,"initiative,innovation,ownership"
BH021,Wipro,DevOps Engineer,Behavioral,Hard,Ethics,Describe a time when you faced an ethical dilemma at work.,Ethics;Decision Making;Integrity;Accountability,"ethics,integrity,decision making"
BH022,HCLTech,Business Analyst,Behavioral,Medium,Negotiation,Explain how you negotiated a solution between two opposing stakeholders.,Negotiation;Communication;Stakeholder Management;Conflict Resolution,"negotiation,stakeholders,conflict"
BH023,Capgemini,Product Manager,Behavioral,Easy,Handling Success,Share how you handled success after achieving a major milestone.,Handling Success;Humility;Teamwork;Accountability,"success,teamwork,accountability"
BH024,Cognizant,UI/UX Designer,Behavioral,Hard,Innovation,Describe a time when you designed a creative solution to improve user experience.,Innovation;Creativity;Customer Obsession;Problem Solving,"innovation,ux,creativity"
BH025,Tech Mahindra,Software Engineer,Behavioral,Medium,Leadership,Explain how you influenced your team to adopt a new approach.,Leadership;Influence;Communication;Adaptability,"leadership,influence,adaptability"
BH026,Flipkart,Backend Developer,Behavioral,Easy,Teamwork,Share an example of how you supported a teammate during a difficult project.,Teamwork;Empathy;Collaboration;Communication,"teamwork,empathy,collaboration"
BH027,Swiggy,Frontend Developer,Behavioral,Hard,Conflict Resolution,Describe a time when you had to mediate a disagreement between team members.,Conflict Resolution;Negotiation;Empathy;Communication,"conflict resolution,mediation,communication"
BH028,Zomato,Full Stack Developer,Behavioral,Medium,Customer Obsession,Explain how you ensured customer satisfaction in a project.,Customer Obsession;Accountability;Problem Solving;Communication,"customer obsession,satisfaction,accountability"
BH029,Paytm,Data Scientist,Behavioral,Easy,Adaptability,Share an example of how you adapted to new technology quickly.,Adaptability;Learning;Growth Mindset;Resilience,"adaptability,learning,growth"
BH030,PhonePe,Machine Learning Engineer,Behavioral,Hard,Decision Making,Describe a time when you made a decision that had significant impact.,Decision Making;Ownership;Accountability;Risk Management,"decision making,impact,ownership"
BH031,Razorpay,Data Engineer,Behavioral,Medium,Ownership,Explain how you took ownership of a critical project.,Ownership;Accountability;Leadership;Problem Solving,"ownership,accountability,leadership"
BH032,Meesho,Cloud Engineer,Behavioral,Easy,Communication,Share how you communicated effectively with cross-functional teams.,Communication;Collaboration;Stakeholder Management;Adaptability,"communication,cross-functional,collaboration"
BH033,Google,DevOps Engineer,Behavioral,Hard,Resilience,Describe a time when you overcame a major obstacle at work.,Resilience;Problem Solving;Adaptability;Persistence,"resilience,obstacle,persistence"
BH034,Microsoft,Business Analyst,Behavioral,Medium,Prioritization,Explain how you prioritized tasks when faced with competing deadlines.,Prioritization;Time Management;Decision Making;Accountability,"prioritization,time management,decision making"
BH035,Amazon,Product Manager,Behavioral,Easy,Leadership,Share an example of how you inspired your team to achieve a goal.,Leadership;Motivation;Teamwork;Communication,"leadership,inspiration,teamwork"
BH036,Meta,UI/UX Designer,Behavioral,Hard,Feedback,Describe a time when you gave constructive feedback to a colleague.,Feedback;Communication;Empathy;Growth Mindset,"feedback,communication,growth"
BH037,Apple,Software Engineer,Behavioral,Medium,Problem Solving,Explain how you solved a problem that had no clear solution.,Problem Solving;Innovation;Resilience;Ownership,"problem solving,innovation,resilience"
BH038,Netflix,Backend Developer,Behavioral,Easy,Teamwork,Share how you collaborated with a distributed team.,Teamwork;Communication;Adaptability;Collaboration,"teamwork,distributed,collaboration"
BH039,NVIDIA,Frontend Developer,Behavioral,Hard,Ethics,Describe a time when you stood up for ethical practices.,Ethics;Integrity;Accountability;Decision Making,"ethics,integrity,accountability"
BH040,Adobe,Full Stack Developer,Behavioral,Medium,Handling Failure,Explain how you handled failure in a project and what you learned.,Handling Failure;Resilience;Learning from Mistakes;Adaptability,"failure,learning,resilience"
BH041,Oracle,Data Scientist,Behavioral,Easy,Customer Obsession,Share how you ensured your analysis aligned with customer needs.,Customer Obsession;Empathy;Problem Solving;Accountability,"customer obsession,analysis,empathy"
BH042,Salesforce,Machine Learning Engineer,Behavioral,Medium,Ownership,Explain how you evaluated and chose a specific validation strategy for a model when team alignment was split.,Ownership;Accountability;Decision Making;Model Evaluation,"model evaluation,ownership,decision making"
BH043,IBM,Data Engineer,Behavioral,Hard,Stakeholder Management,Describe a time when you had to convince leadership to invest in re-architecting a legacy data pipeline.,Stakeholder Management;Influence;Communication;Technical Strategy,"pipelines,stakeholders,influence"
BH044,Intel,Cloud Engineer,Behavioral,Medium,Adaptability,Explain how you shifted your infrastructure migration plan mid-way due to sudden regulatory changes.,Adaptability;Resilience;Risk Management;Compliance,"infrastructure,migration,compliance"
BH045,Cisco,DevOps Engineer,Behavioral,Easy,Mentorship,Share an example of how you brought a non-technical team member up to speed on CI/CD principles.,Mentorship;Communication;Clarity;Teamwork,"mentorship,devops,learning"
BH046,Accenture,Business Analyst,Behavioral,Medium,Prioritization,Describe a situation where a client demanded out-of-scope features and how you prioritized the core product roadmap.,Prioritization;Scope Management;Negotiation;Client Management,"roadmap,negotiation,prioritization"
BH047,Deloitte,Product Manager,Behavioral,Hard,Conflict Resolution,Explain how you managed a major dispute between the engineering and design leads regarding product delivery trade-offs.,Conflict Resolution;Negotiation;Empathy;Product Strategy,"conflict resolution,product roadmap,engineering"
BH048,EY,UI/UX Designer,Behavioral,Easy,Feedback,Share an experience where user testing data completely contradicted your original design thesis and how you responded.,Feedback;Growth Mindset;User Testing;Humility,"ux design,feedback,user testing"
BH049,PwC,Software Engineer,Behavioral,Medium,Teamwork,Describe a time when you had to absorb a sudden workload spike because a critical teammate unexpectedly went on medical leave.,Teamwork;Collaboration;Adaptability;Resource Management,"workload,teamwork,resilience"
BH050,KPMG,Backend Developer,Behavioral,Hard,Leadership,"Give an example of a project where structural technical alignment between teams fell completely apart, and how you engineered a common architectural path.",Leadership;Influence;Conflict Resolution;Architecture,"alignment,leadership,architecture"
