QuestionID,Company,Role,Perspective,Difficulty,Topic,Question,Expected_Concepts,Keywords
1,Google,AI Engineer,Technical,Hard,Transformer Architectures,"How does the self-attention mechanism scale with sequence length, and what specific optimization techniques like FlashAttention address its memory bottlenecks?",Self-attention complexity;Quadratic memory scaling;FlashAttention;Sparsity;Tiling,"Transformer, Attention, FlashAttention, IO Complexity, LLM"
2,Microsoft,Generative AI Engineer,Technical,Hard,LLM Fine-tuning,Explain the mathematical distinction between full fine-tuning and Low-Rank Adaptation (LoRA) in terms of parameter updates and weight matrices.,Low-Rank Adaptation;Intrinsic rank;Parameter efficiency;Weight decomposition;Fine-tuning,"LoRA, PEFT, Generative AI, LLM, Quantization"
3,Amazon,Data Engineer,Technical,Medium,Data Warehousing,"When designing a Redshift data warehouse, how do you choose between KEY, EVEN, and ALL distribution styles to minimize network shuffle during large cross-table joins?",Distribution keys;Data shuffling;Redshift architecture;Star schema;Query execution plans,"AWS Redshift, Data Modeling, Distribution Style, Query Optimization, ETL"
4,Meta,Machine Learning Engineer,Technical,Hard,Recommendation Systems,How does Meta handle the exploitation-exploration trade-off and the cold-start problem in multi-billion parameter deep learning recommendation models like DLRM?,DLRM;Cold-start problem;Exploration-exploitation;Embedding layers;Negative sampling,"DLRM, Recommendation, Embeddings, Cold Start, Personalization"
5,Netflix,Site Reliability Engineer,Technical,Hard,Fault Tolerance,How does Netflix leverage automated canary analysis and chaos engineering principles to safely validate regional failovers without service disruption?,Chaos Engineering;Canary Deployment;Regional Failover;Blast Radius;Resilience,"Chaos Engineering, SRE, Resilience, Canary, High Availability"
6,NVIDIA,Software Engineer,Technical,Hard,GPU Computing,"Explain the architectural difference between shared memory and global memory in a GPU block, and how bank conflicts impact kernel latency.",Shared memory;Global memory;Bank conflicts;CUDA architecture;Memory bandwidth,"CUDA, GPU, Memory Architecture, Bank Conflict, Parallel Computing"
7,Apple,Security Engineer,Technical,Hard,Hardware Security,How does Apple Secure Enclave maintain isolation from the primary application processor to secure cryptographic keys even if the kernel is compromised?,Secure Enclave;Hardware isolation;Cryptographic key management;Kernel compromise;Privilege separation,"Security, iOS, Hardware Security, Cryptography, Secure Enclave"
8,Adobe,Frontend Developer,Technical,Medium,DOM Rendering,How does the Virtual DOM reconciliation algorithm optimize browser paint cycles during intensive graphical asset manipulations in web applications?,Virtual DOM;Reconciliation algorithm;Browser paint;Diffing algorithm;DOM manipulation,"Frontend, React, DOM, Rendering, Performance"
9,Oracle,Backend Developer,Technical,Hard,Database Concurrency,Explain how Multi-Version Concurrency Control (MVCC) prevents dirty reads and non-repeatable reads without using heavy table-level locks.,MVCC;Isolation levels;Dirty reads;Non-repeatable reads;Locking mechanisms,"Database, MVCC, Concurrency, ACID, Transactions"
10,Salesforce,Cloud Engineer,Technical,Medium,Multi-tenant Architecture,How does a multi-tenant cloud architecture ensure data isolation and metadata-driven customization while sharing the same underlying infrastructure and database instance?,Multi-tenancy;Data isolation;Metadata architecture;Resource throttling;Tenant isolation,"Cloud, Multi-tenancy, Salesforce Architecture, SaaS, Metadata"
11,IBM,Data Scientist,Technical,Medium,Model Interpretability,What is the core mathematical difference between SHAP (Shapley Additive exPlanations) and LIME in explaining the predictions of a complex black-box model?,SHAP;LIME;Shapley values;Local surrogate models;Model interpretability,"Data Science, Explainable AI, SHAP, LIME, Model Evaluation"
12,Intel,DevOps Engineer,Technical,Medium,CI/CD Pipelines,How do you implement immutable infrastructure using containerization and infrastructure-as-code to prevent configuration drift across microservices?,Immutable Infrastructure;Configuration Drift;Infrastructure as Code;Docker;Continuous Deployment,"DevOps, IaC, Terraform, Containerization, Configuration Drift"
