QuestionID,Company,Role,Perspective,Difficulty,Topic,Question,Expected_Concepts,Keywords
SD001,Google,Software Engineer,System Design,Easy,Load Balancing,How would you design a load balancer for a large-scale web application?,Load Balancer;Horizontal Scaling;Reverse Proxy;Health Checks,"load balancing,scalability,web"
SD002,Microsoft,Backend Developer,System Design,Medium,Caching,Explain how you would design a caching layer for a high-traffic API.,Caching;Eviction Policies;Latency Reduction;Data Freshness,"caching,api,performance"
SD003,Amazon,Full Stack Developer,System Design,Hard,Distributed Systems,How would you design a distributed system to handle millions of concurrent users?,Distributed Systems;Consistency;Fault Tolerance;Scalability,"distributed systems,concurrency,scalability"
SD004,Meta,Cloud Engineer,System Design,Medium,CDN,How would you design a CDN to serve static assets globally?,CDN;Edge Servers;Latency Reduction;Content Replication,"cdn,global,latency"
SD005,Apple,DevOps Engineer,System Design,Easy,Microservices,What are the key considerations when designing a microservices architecture?,Microservices;Service Discovery;API Gateway;Fault Isolation,"microservices,architecture,services"
SD006,Netflix,Site Reliability Engineer,System Design,Hard,Fault Tolerance,How would you design a system to be fault tolerant against regional outages?,Fault Tolerance;Replication;Failover;Disaster Recovery,"fault tolerance,failover,replication"
SD007,NVIDIA,Data Engineer,System Design,Medium,Message Queues,How would you design a message queue system for event-driven architecture?,Message Queues;Asynchronous Processing;Scalability;Reliability,"message queues,event-driven,scalability"
SD008,Adobe,Machine Learning Engineer,System Design,Hard,Streaming Systems,How would you design a real-time streaming system for ML model inference?,Streaming Systems;Low Latency;Scalability;Fault Tolerance,"streaming,real-time,ml"
SD009,Oracle,Software Engineer,System Design,Medium,Databases,How would you decide between SQL and NoSQL for a new application?,SQL vs NoSQL;Consistency;Scalability;Data Modeling,"databases,sql,nosql"
SD010,Salesforce,Backend Developer,System Design,Easy,API Design,What are the best practices for designing REST APIs?,REST APIs;Versioning;Rate Limiting;Authentication,"api design,rest,authentication"
