QuestionID,Company,Role,Perspective,Difficulty,Topic,Question,Expected_Concepts,Keywords
SD043,IBM,Full Stack Developer,System Design,Medium,Cloud Architecture,How would you design cloud architecture for hybrid deployments?,Cloud Architecture;Hybrid Cloud;Scalability;Resilience,"cloud,hybrid cloud,scalability,resilience"
7,Apple,Security Engineer,Technical,Hard,Hardware Security,How does Apple Secure Enclave maintain isolation from the primary application processor to secure cryptographic keys even if the kernel is compromised?,Secure Enclave;Hardware isolation;Cryptographic key management;Kernel compromise;Privilege separation,"Security, iOS, Hardware Security, Cryptography, Secure Enclave"
BH048,EY,UI/UX Designer,Behavioral,Easy,Feedback,Share an experience where user testing data completely contradicted your original design thesis and how you responded.,Feedback;Growth Mindset;User Testing;Humility,"ux design,feedback,user testing"
BH011,IBM,Product Manager,Behavioral,Easy,Time Management,Share an example of how you managed multiple tasks effectively.,Time Management;Prioritization;Organization;Accountability,"time management,prioritization,organization"
SD013,Cisco,DevOps Engineer,System Design,Easy,Docker,How would you use Docker in designing scalable applications?,Docker;Containerization;Isolation;Portability,"docker,containers,scalability"
HR032,Meesho,Cloud Engineer,HR,Easy,Why This Company,Why do you want to join Meesho?,Company Fit;Motivation;Work Culture;Career Goals,"company fit,meesho,motivation"
HR048,EY,UI/UX Designer,HR,Hard,Feedback,How do you respond when a client criticizes an interface choice backed by solid user metrics?,Feedback;Resilience;Professionalism;Communication;Stakeholder Management,"feedback,client management,ux design"
HR035,Amazon,Product Manager,HR,Easy,Relocation,Would you be willing to relocate for this role?,Relocation;Adaptability;Flexibility;Career Goals,"relocation,adaptability,flexibility"
10,Salesforce,Cloud Engineer,Technical,Medium,Multi-tenant Architecture,How does a multi-tenant cloud architecture ensure data isolation and metadata-driven customization while sharing the same underlying infrastructure and database instance?,Multi-tenancy;Data isolation;Metadata architecture;Resource throttling;Tenant isolation,"Cloud, Multi-tenancy, Salesforce Architecture, SaaS, Metadata"
SD005,Apple,DevOps Engineer,System Design,Easy,Microservices,What are the key considerations when designing a microservices architecture?,Microservices;Service Discovery;API Gateway;Fault Isolation,"microservices,architecture,services"
AI001,Google,Machine Learning Engineer,AI/ML,Easy,Transformers,"Explain why Transformers use Multi-Head Attention instead of a single large attention head, and how does it affect feature subspace representation?",Multi-Head Attention;Feature Subspaces;Attention Scaling;Orthogonality;Representation Learning,"transformers,attention,deep learning,multi-head attention"
AI017,PwC,Data Scientist,AI/ML,Medium,Embeddings,How do contrastive learning loss designs like InfoNCE optimize sentence embedding spaces during unsupervised semantic text similarity metric configurations?,Contrastive Learning;InfoNCE Loss;Sentence Embeddings;Semantic Similarity;Negative Sampling,"embeddings,contrastive learning,infonce,nlp"
AI067,Paytm,Generative AI Engineer,AI/ML,Medium,Domain Adaptation,How do Domain-Adversarial Neural Networks (DANN) enforce feature invariance across distinct source and target distribution domains during training?,DANN;Domain classifier;Gradient Reversal Layer;Feature invariance;Covariate shift,"domain adaptation,dann,transfer learning,covariate shift"
AI071,Google,Machine Learning Engineer,AI/ML,Hard,Data Privacy,Explain the mathematical concept of epsilon-differential privacy ($\epsilon$-DP) and how adding Gaussian or Laplacian noise to gradients alters the privacy budget during model training.,Differential privacy;Privacy budget;Laplacian noise;Gaussian mechanism;DP-SGD,"differential privacy,data privacy,security,dpsgd"
BH018,KPMG,Machine Learning Engineer,Behavioral,Hard,Resilience,Describe a time when you faced repeated setbacks but kept pushing forward.,Resilience;Adaptability;Persistence;Problem Solving,"resilience,setbacks,persistence"
AI055,PwC,Data Scientist,AI/ML,Medium,Model Quantization,What is the core distinction between Activation-aware Weight Quantization (AWQ) and GPTQ when compressing model weights to 4-bit precision?,AWQ;GPTQ;Weight quantization;Salient weights;Second-order error optimization,"quantization,awq,gptq,model compression"
HR045,Cisco,DevOps Engineer,HR,Hard,Failure,How do you handle failure and setbacks?,Failure;Resilience;Learning;Adaptability,"failure,resilience,learning"
16,EY,Product Manager,Technical,Medium,Product Strategy,How do you define and evaluate success metrics for migrating a complex B2B financial compliance platform from a legacy on-premise system to a SaaS model?,SaaS metrics;Migration risk;Product adoption;Churn rate;Value proposition,"Product Management, KPIs, B2B, SaaS, Migration"
HR028,Zomato,Full Stack Developer,HR,Medium,Career Goals,What are your short-term career goals?,Career Goals;Motivation;Professional Growth;Learning,"career goals,short-term,motivation"
25,Tech Mahindra,DevOps Engineer,Technical,Hard,Container Orchestration,"How does Kubernetes handle networking internally between Pods across different nodes, and what is the role of a Container Network Interface (CNI)?",Kubernetes networking;CNI plugins;Pod-to-Pod communication;Overlay networks;Kube-proxy,"Kubernetes, CNI, DevOps, Microservices, Container Networking"
AI078,Adobe,Data Engineer,AI/ML,Easy,Clustering at Scale,Explain the architectural mechanics of the BIRCH clustering algorithm and how its clustering feature tree handles millions of high-dimensional points under strict memory limits.,BIRCH clustering;Clustering Feature tree;Memory constraint scalability;Hierarchical clustering;Outlier rejection,"clustering,birch,unsupervised learning,big data"
20,TCS,Full Stack Developer,Technical,Medium,Web Architecture,"Compare REST architecture and GraphQL regarding network payloads, over-fetching/under-fetching problems, and client-side caching strategies.",GraphQL;RESTful API;Over-fetching;Data caching;Network roundtrips,"Full Stack, API Design, GraphQL, REST, Caching"
SD015,Deloitte,Data Engineer,System Design,Hard,Sharding,How would you design sharding for a large-scale database?,Sharding;Partitioning;Scalability;Consistency,"sharding,databases,scalability"
BH019,Infosys,Data Engineer,Behavioral,Medium,Mentorship,Explain how you mentored a junior colleague to improve their performance.,Mentorship;Leadership;Communication;Growth Mindset,"mentorship,leadership,growth"
HR027,Swiggy,Frontend Developer,HR,Hard,Introduction,How would you introduce yourself to a new team?,Introduction;Communication;Confidence;Professional Values,"introduction,team,communication"
