QuestionID,Company,Role,Perspective,Difficulty,Topic,Question,Expected_Concepts,Keywords
HR001,Google,Software Engineer,HR,Easy,Introduction,Can you tell me about yourself?,Communication;Self Awareness;Professional Values;Confidence,"introduction,self awareness,communication"
HR002,Microsoft,Backend Developer,HR,Medium,Career Goals,Where do you see yourself in five years?,Career Goals;Long-Term Vision;Motivation;Professional Growth,"career goals,long-term,motivation"
HR003,Amazon,Frontend Developer,HR,Hard,Strengths,What is your greatest strength and how has it helped you professionally?,Strengths;Self Awareness;Professional Values;Communication,"strengths,self awareness,professional"
HR004,Meta,Full Stack Developer,HR,Medium,Weaknesses,What is a weakness you are currently working to improve?,Weaknesses;Self Awareness;Growth Mindset;Adaptability,"weaknesses,growth mindset,self awareness"
HR005,Apple,Data Scientist,HR,Easy,Motivation,What motivates you to perform at your best?,Motivation;Career Goals;Professional Values;Resilience,"motivation,career,values"
HR006,Netflix,Machine Learning Engineer,HR,Hard,Why This Company,Why do you want to work at Netflix instead of its competitors?,Company Fit;Motivation;Work Culture;Career Goals,"company fit,motivation,netflix"
HR007,NVIDIA,Data Engineer,HR,Medium,Why This Role,Why are you interested in this role specifically?,Role Fit;Motivation;Career Goals;Professional Values,"role fit,motivation,career"
HR008,Adobe,Cloud Engineer,HR,Easy,Salary Expectations,What are your salary expectations for this role?,Salary Expectations;Professional Values;Negotiation;Career Growth,"salary,expectations,negotiation"
HR009,Oracle,DevOps Engineer,HR,Hard,Relocation,Are you open to relocation if required?,Relocation;Adaptability;Career Goals;Flexibility,"relocation,adaptability,career"
HR010,Salesforce,Business Analyst,HR,Medium,Work Culture,Describe your ideal work environment.,Work Culture;Communication;Teamwork;Professional Values,"work culture,environment,teamwork"
HR011,IBM,Product Manager,HR,Easy,Career Growth,What are your career growth aspirations?,Career Growth;Motivation;Long-Term Vision;Professional Values,"career growth,aspirations,motivation"
HR012,Intel,UI/UX Designer,HR,Hard,Learning,How do you keep your skills updated in a fast-changing industry?,Learning;Adaptability;Growth Mindset;Professional Values,"learning,adaptability,growth"
HR013,Cisco,Software Engineer,HR,Medium,Work-Life Balance,How do you maintain work-life balance?,Work-Life Balance;Time Management;Stress Management;Professional Values,"work-life balance,time management,stress"
HR014,Accenture,Backend Developer,HR,Easy,Teamwork,Can you share an example of successful teamwork?,Teamwork;Collaboration;Communication;Conflict Handling,"teamwork,collaboration,communication"
HR015,Deloitte,Frontend Developer,HR,Hard,Leadership Potential,Describe a situation where you demonstrated leadership potential.,Leadership Potential;Decision Making;Teamwork;Motivation,"leadership,decision making,teamwork"
HR016,EY,Full Stack Developer,HR,Medium,Conflict Handling,How do you handle conflicts in the workplace?,Conflict Handling;Communication;Empathy;Negotiation,"conflict,communication,negotiation"
HR017,PwC,Data Scientist,HR,Easy,Adaptability,Give an example of how you adapted to a major change.,Adaptability;Flexibility;Resilience;Problem Solving,"adaptability,flexibility,resilience"
HR018,KPMG,Machine Learning Engineer,HR,Hard,Achievements,What professional achievement are you most proud of?,Achievements;Motivation;Career Growth;Professional Values,"achievements,career,motivation"
HR019,Infosys,Data Engineer,HR,Medium,Failure,Tell me about a failure and how you handled it.,Failure;Resilience;Learning;Adaptability,"failure,resilience,learning"
HR020,TCS,Cloud Engineer,HR,Easy,Stress Management,How do you manage stress during high-pressure situations?,Stress Management;Resilience;Adaptability;Work-Life Balance,"stress management,resilience,adaptability"
HR021,Wipro,DevOps Engineer,HR,Hard,Decision Making,Describe a difficult decision you had to make at work.,Decision Making;Ownership;Accountability;Professional Values,"decision making,ownership,accountability"
HR022,HCLTech,Business Analyst,HR,Medium,Ethics,How do you ensure ethical practices in your work?,Ethics;Integrity;Professional Values;Accountability,"ethics,integrity,values"
HR023,Capgemini,Product Manager,HR,Easy,Professional Values,What professional values guide your work?,Professional Values;Ethics;Motivation;Career Goals,"values,ethics,career"
HR024,Cognizant,UI/UX Designer,HR,Hard,Long-Term Vision,What is your long-term vision for your career?,Long-Term Vision;Career Goals;Motivation;Professional Growth,"long-term vision,career,motivation"
HR025,Tech Mahindra,Software Engineer,HR,Medium,Availability,When would you be available to start?,Availability;Flexibility;Professional Values;Career Goals,"availability,start,flexibility"
HR026,Flipkart,Backend Developer,HR,Easy,Communication,How do you ensure clear communication with your team?,Communication;Teamwork;Collaboration;Professional Values,"communication,teamwork,collaboration"
HR027,Swiggy,Frontend Developer,HR,Hard,Introduction,How would you introduce yourself to a new team?,Introduction;Communication;Confidence;Professional Values,"introduction,team,communication"
HR028,Zomato,Full Stack Developer,HR,Medium,Career Goals,What are your short-term career goals?,Career Goals;Motivation;Professional Growth;Learning,"career goals,short-term,motivation"
HR029,Paytm,Data Scientist,HR,Easy,Strengths,What strengths make you a good fit for this role?,Strengths;Role Fit;Self Awareness;Professional Values,"strengths,role fit,self awareness"
HR030,PhonePe,Machine Learning Engineer,HR,Hard,Weaknesses,How do you ensure your weaknesses don’t affect your performance?,Weaknesses;Self Awareness;Adaptability;Resilience,"weaknesses,self awareness,resilience"
HR031,Razorpay,Data Engineer,HR,Medium,Motivation,What motivates you to work in the fintech industry?,Motivation;Career Goals;Professional Values;Industry Fit,"motivation,fintech,career"
HR032,Meesho,Cloud Engineer,HR,Easy,Why This Company,Why do you want to join Meesho?,Company Fit;Motivation;Work Culture;Career Goals,"company fit,meesho,motivation"
HR033,Google,DevOps Engineer,HR,Hard,Why This Role,Why do you think you are suited for this role?,Role Fit;Strengths;Motivation;Professional Values,"role fit,strengths,motivation"
